event_id,account_id,feature_id,event_timestamp,consumed_units,region
5000002,1001,108,2025-04-23 05:56:26,380,AP-SOUTH
5000003,1001,107,2025-05-09 12:06:53,184,AP-SOUTH
5000004,1001,104,2025-04-27 02:51:54,88,US-EAST
5000005,1001,105,2025-04-10 08:06:04,15,EU-CENTRAL
5000006,1001,103,2025-04-18 05:46:04,459,US-EAST
5000007,1001,106,2025-05-18 15:45:01,309,AP-SOUTH
5000008,1001,103,2025-04-25 05:03:06,315,EU-CENTRAL
5000009,1001,104,2025-04-22 22:35:46,102,EU-CENTRAL
5000010,1001,105,2025-03-31 03:03:25,157,AP-SOUTH
5000011,1001,103,2025-04-16 00:27:05,32,EU-CENTRAL
5000012,1001,108,2025-03-13 00:13:10,107,EU-CENTRAL
5000013,1001,102,2025-03-15 09:50:25,247,AP-SOUTH
5000014,1001,108,2025-05-24 08:05:41,463,AP-SOUTH
5000015,1001,103,2025-04-18 11:11:28,194,US-EAST
5000016,1001,105,2025-04-29 08:14:53,230,EU-CENTRAL
5000017,1001,101,2025-05-29 21:06:05,82,EU-CENTRAL
5000018,1001,107,2025-05-15 07:35:03,392,AP-SOUTH
5000019,1001,107,2025-05-08 21:55:59,499,AP-SOUTH
5000020,1001,104,2025-04-08 02:25:57,248,US-EAST
5000021,1001,103,2025-04-27 05:10:13,66,US-WEST
5000022,1001,103,2025-04-24 02:43:27,26,US-WEST
5000023,1001,103,2025-05-16 08:20:58,432,US-EAST
5000024,1001,102,2025-05-11 12:35:20,203,EU-CENTRAL
5000025,1001,108,2025-03-02 22:39:37,474,AP-SOUTH
5000026,1001,102,2025-03-20 04:36:37,217,US-EAST
5000027,1001,102,2025-03-13 09:55:34,293,EU-CENTRAL
5000028,1001,107,2025-04-19 20:31:36,140,AP-SOUTH
5000029,1001,101,2025-04-05 12:09:39,93,AP-SOUTH
5000030,1001,101,2025-04-12 22:15:03,207,AP-SOUTH
5000031,1001,105,2025-04-17 00:21:52,464,EU-CENTRAL
5000032,1001,105,2025-05-02 22:43:06,148,US-WEST
5000033,1001,103,2025-04-26 10:17:46,158,AP-SOUTH
5000034,1001,102,2025-04-26 06:58:52,101,AP-SOUTH
5000035,1001,108,2025-05-06 11:52:03,393,US-WEST
5000036,1001,102,2025-05-30 16:25:08,164,US-EAST
5000037,1001,103,2025-03-26 01:15:02,103,AP-SOUTH
5000038,1001,101,2025-04-16 22:12:17,475,EU-CENTRAL
5000039,1001,108,2025-04-20 20:59:07,263,US-EAST
5000040,1001,104,2025-05-02 19:28:11,195,AP-SOUTH
5000041,1002,106,2025-03-21 08:47:53,181,US-EAST
5000042,1002,105,2025-04-19 01:10:54,19,US-WEST
5000043,1002,104,2025-03-29 21:13:17,336,AP-SOUTH
5000044,1002,101,2025-05-27 00:30:58,447,US-WEST
5000045,1002,103,2025-03-02 07:16:38,312,EU-CENTRAL
5000046,1002,105,2025-04-18 11:29:16,221,US-WEST
5000047,1002,108,2025-05-26 16:52:39,159,AP-SOUTH
5000048,1002,102,2025-05-05 21:53:53,8,EU-CENTRAL
5000049,1002,105,2025-05-27 03:30:04,157,EU-CENTRAL
5000050,1002,105,2025-04-11 08:16:41,332,EU-CENTRAL
5000051,1002,104,2025-05-06 07:57:03,81,AP-SOUTH
5000052,1002,106,2025-03-18 23:01:41,353,AP-SOUTH
5000053,1002,105,2025-04-23 12:24:47,137,US-EAST
5000054,1002,104,2025-03-29 21:34:40,180,AP-SOUTH
5000055,1002,106,2025-04-08 05:53:42,264,US-WEST
5000056,1002,105,2025-04-30 04:47:16,54,US-WEST
5000057,1002,106,2025-03-12 07:22:14,340,EU-CENTRAL
5000058,1002,107,2025-04-12 11:16:37,408,EU-CENTRAL
5000059,1002,108,2025-03-16 15:03:55,440,US-EAST
5000060,1002,108,2025-03-25 16:07:55,460,AP-SOUTH
5000061,1002,105,2025-03-07 04:08:12,216,EU-CENTRAL
5000062,1002,107,2025-04-28 04:20:55,296,US-WEST
5000063,1002,102,2025-04-12 20:11:20,254,US-EAST
5000064,1002,101,2025-04-05 06:48:49,236,US-WEST
5000065,1002,103,2025-03-12 04:39:27,255,AP-SOUTH
5000066,1002,107,2025-05-01 12:00:02,224,US-WEST
5000067,1002,106,2025-03-02 10:48:53,491,US-WEST
5000068,1002,101,2025-03-01 20:46:15,351,US-WEST
5000069,1002,106,2025-03-17 03:24:32,164,EU-CENTRAL
5000070,1002,103,2025-03-06 09:18:29,38,EU-CENTRAL
5000071,1002,107,2025-05-27 04:21:57,459,AP-SOUTH
5000072,1002,106,2025-03-25 05:58:58,389,AP-SOUTH
5000073,1002,101,2025-03-29 23:08:13,121,US-EAST
5000074,1002,103,2025-04-16 22:41:50,68,US-EAST
5000075,1002,107,2025-05-21 08:49:34,453,US-EAST
5000076,1002,101,2025-03-14 20:53:01,343,US-EAST
5000077,1002,102,2025-04-26 12:07:35,218,EU-CENTRAL
5000078,1002,108,2025-03-20 06:44:43,364,US-EAST
5000079,1002,105,2025-05-24 03:42:33,220,EU-CENTRAL
5000080,1002,103,2025-03-14 16:46:39,219,US-EAST
5000081,1002,105,2025-03-14 15:12:38,63,US-WEST
5000082,1002,105,2025-05-06 06:22:45,430,AP-SOUTH
5000083,1002,105,2025-03-06 17:31:58,87,US-WEST
5000084,1002,108,2025-03-31 00:00:42,174,US-EAST
5000085,1002,102,2025-05-13 21:31:09,432,US-EAST
5000086,1002,102,2025-03-13 08:41:14,375,AP-SOUTH
5000087,1002,105,2025-04-29 01:06:52,140,US-WEST
5000088,1002,101,2025-04-07 11:51:43,441,EU-CENTRAL
5000089,1002,107,2025-03-15 03:54:48,383,US-EAST
5000090,1003,103,2025-05-22 05:21:22,344,AP-SOUTH
5000091,1003,105,2025-03-12 11:52:21,454,US-WEST
5000092,1003,102,2025-04-21 14:17:53,210,AP-SOUTH
5000093,1003,108,2025-04-23 20:56:51,414,US-WEST
5000094,1003,102,2025-05-29 23:03:54,72,US-WEST
5000095,1003,102,2025-05-15 15:51:36,218,AP-SOUTH
5000096,1003,103,2025-04-18 11:39:01,317,US-WEST
5000097,1003,108,2025-05-02 03:56:26,476,AP-SOUTH
5000098,1003,101,2025-04-03 20:20:00,37,US-WEST
5000099,1003,106,2025-05-06 22:44:39,270,US-EAST
5000100,1003,107,2025-04-01 15:22:42,343,AP-SOUTH
5000101,1003,103,2025-05-11 19:03:00,434,US-WEST
5000102,1003,108,2025-05-03 05:04:48,441,AP-SOUTH
5000103,1003,106,2025-04-12 08:03:32,128,US-WEST
5000104,1003,107,2025-03-31 02:29:28,211,AP-SOUTH
5000105,1003,102,2025-05-03 14:20:07,443,AP-SOUTH
5000106,1003,101,2025-04-21 13:02:35,57,US-EAST
5000107,1003,102,2025-05-17 19:40:19,410,US-WEST
5000108,1003,108,2025-04-13 11:52:03,491,US-WEST
5000109,1003,108,2025-05-11 19:38:30,174,EU-CENTRAL
5000110,1003,108,2025-03-13 21:14:00,63,EU-CENTRAL
5000111,1003,106,2025-05-21 09:35:33,429,EU-CENTRAL
5000112,1003,102,2025-03-22 15:08:52,28,AP-SOUTH
5000113,1003,102,2025-05-18 06:12:07,135,AP-SOUTH
5000114,1003,104,2025-03-25 22:21:06,239,AP-SOUTH
5000115,1003,101,2025-05-21 21:37:07,479,AP-SOUTH
5000116,1003,108,2025-05-15 16:08:31,342,US-EAST
5000117,1003,101,2025-04-25 18:30:59,288,US-WEST
5000118,1003,103,2025-03-17 03:24:42,379,EU-CENTRAL
5000119,1003,107,2025-05-17 22:48:15,219,EU-CENTRAL
5000120,1004,106,2025-04-27 04:08:26,155,EU-CENTRAL
5000121,1004,106,2025-05-10 20:13:12,369,US-WEST
5000122,1004,105,2025-04-14 21:08:45,356,US-WEST
5000123,1004,106,2025-03-15 11:35:30,368,AP-SOUTH
5000124,1004,105,2025-04-24 00:33:06,454,US-EAST
5000125,1004,107,2025-03-07 21:03:12,79,EU-CENTRAL
5000126,1004,103,2025-05-27 08:09:53,151,US-EAST
5000127,1004,105,2025-05-09 01:22:52,109,AP-SOUTH
5000128,1004,102,2025-05-26 23:35:55,320,US-WEST
5000129,1004,107,2025-05-05 22:18:44,126,US-EAST
5000130,1004,107,2025-04-23 21:20:35,203,US-EAST
5000131,1004,101,2025-04-02 06:39:55,385,AP-SOUTH
5000132,1004,104,2025-05-21 22:45:41,471,EU-CENTRAL
5000133,1004,104,2025-03-25 09:28:11,402,US-EAST
5000134,1004,103,2025-03-23 23:32:07,497,AP-SOUTH
5000135,1004,101,2025-04-05 17:16:08,224,US-WEST
5000136,1004,105,2025-04-12 14:45:59,7,US-WEST
5000137,1004,101,2025-04-11 19:03:49,83,EU-CENTRAL
5000138,1004,108,2025-05-13 17:22:04,409,EU-CENTRAL
5000139,1004,104,2025-03-24 16:04:50,494,US-WEST
5000140,1004,107,2025-05-08 12:05:22,283,US-WEST
5000141,1004,104,2025-04-12 10:23:18,344,US-WEST
5000142,1004,108,2025-05-23 00:07:42,292,EU-CENTRAL
5000143,1004,108,2025-05-22 19:58:39,128,US-WEST
5000144,1004,101,2025-04-11 12:58:50,354,US-EAST
5000145,1004,107,2025-05-09 23:18:01,136,EU-CENTRAL
