lineitem_id,order_id,line_number,product_id,quantity,unit_price,discount_pct,tax_rate,ship_date,promised_date,delivery_date,return_flag,fulfillment_status
1,10001,1,192,3,345.33,0.25,0.08,2025-06-19,2025-06-24,2025-06-20,N,DELIVERED
2,10001,2,19,7,776.54,0.25,0.08,2025-06-24,2025-06-24,2025-06-28,N,DELIVERED
3,10001,3,30,8,1002.13,0.05,0.08,2025-06-24,2025-06-24,2025-06-25,N,DELIVERED
4,10001,4,14,7,760.86,0.2,0.08,2025-06-26,2025-06-24,2025-06-27,N,DELIVERED
5,10001,5,72,12,808.22,0.0,0.08,2025-06-26,2025-06-24,2025-06-28,N,DELIVERED
6,10002,1,117,6,900.92,0.15,0.08,2025-01-17,2025-01-22,2025-01-20,N,DELIVERED
7,10002,2,62,1,1305.1,0.05,0.08,2025-01-19,2025-01-22,2025-01-21,N,DELIVERED
8,10002,3,239,9,453.59,0.1,0.08,2025-01-24,2025-01-22,2025-01-28,N,DELIVERED
9,10002,4,145,11,1136.63,0.2,0.08,2025-01-20,2025-01-22,2025-01-21,N,DELIVERED
10,10002,5,174,12,1001.76,0.15,0.08,2025-01-25,2025-01-22,2025-01-29,N,DELIVERED
11,10002,6,200,2,794.6,0.2,0.08,2025-01-18,2025-01-22,2025-01-19,N,DELIVERED
12,10002,7,206,11,149.64,0.05,0.08,2025-01-23,2025-01-22,2025-01-24,N,DELIVERED
13,10003,1,141,3,129.12,0.2,0.08,2025-06-08,2025-06-05,2025-06-11,N,DELIVERED
14,10003,2,164,11,847.28,0.0,0.08,2025-06-08,2025-06-05,2025-06-10,N,DELIVERED
15,10003,3,54,11,296.08,0.05,0.08,2025-06-04,2025-06-05,2025-06-08,N,DELIVERED
16,10003,4,166,5,296.7,0.25,0.08,2025-06-02,2025-06-05,2025-06-03,N,DELIVERED
17,10003,5,150,6,256.57,0.15,0.08,2025-06-01,2025-06-05,2025-06-03,Y,RETURNED
18,10004,1,237,7,437.7,0.2,0.08,2025-04-03,2025-04-02,2025-04-06,N,DELIVERED
19,10004,2,184,4,532.55,0.15,0.08,2025-04-02,2025-04-02,2025-04-05,N,DELIVERED
20,10004,3,120,4,846.54,0.05,0.08,2025-03-29,2025-04-02,2025-03-30,N,DELIVERED
21,10004,4,135,7,781.15,0.1,0.08,2025-03-29,2025-04-02,2025-03-31,N,DELIVERED
22,10004,5,37,5,1115.26,0.05,0.08,2025-04-02,2025-04-02,2025-04-05,N,DELIVERED
23,10004,6,238,1,1224.82,0.05,0.08,2025-04-05,2025-04-02,2025-04-06,N,DELIVERED
24,10005,1,125,4,966.69,0.25,0.08,2025-04-28,2025-05-02,2025-04-30,N,DELIVERED
25,10005,2,247,10,993.39,0.05,0.08,2025-04-28,2025-05-02,2025-05-01,N,DELIVERED
26,10005,3,161,7,360.09,0.0,0.08,2025-05-04,2025-05-02,2025-05-08,N,DELIVERED
27,10005,4,147,7,1147.88,0.2,0.08,2025-04-26,2025-05-02,2025-04-29,N,DELIVERED
28,10005,5,12,11,1158.9,0.0,0.08,2025-04-29,2025-05-02,2025-05-02,N,DELIVERED
29,10006,1,238,9,1224.82,0.05,0.08,2025-04-21,2025-04-20,2025-04-22,N,DELIVERED
30,10006,2,109,5,1119.5,0.1,0.08,2025-04-15,2025-04-20,2025-04-19,N,DELIVERED
31,10006,3,92,1,1013.18,0.15,0.08,2025-04-14,2025-04-20,2025-04-15,N,DELIVERED
32,10006,4,225,2,603.28,0.15,0.08,2025-04-22,2025-04-20,2025-04-23,N,DELIVERED
