order_id,customer_id,channel_id,order_date,order_priority,payment_method,order_total_lines,order_net_revenue
10001,2,1,2025-06-17,2-HIGH,CORPORATE_INVOICE,5,26429.48
10002,3,2,2025-01-15,4-LOW,CORPORATE_INVOICE,7,32564.01
10003,4,3,2025-05-29,3-NORMAL,CREDIT_CARD,5,15145.14
10004,5,4,2025-03-26,4-LOW,WIRE_TRANSFER,6,18860.95
10005,6,5,2025-04-25,4-LOW,CORPORATE_INVOICE,5,34033.94
10006,7,1,2025/04/13,3-NORMAL,CREDIT_CARD,6,18904.24
10007,8,2,2025-04-26,2-HIGH,CREDIT_CARD,5,25184.94
10008,9,3,2025/01/22,4-LOW,CREDIT_CARD,7,37331.56
10009,10,4,2025-06-04,4-LOW,CORPORATE_INVOICE,6,37020.25
10010,11,5,2025-03-10,2-HIGH,CREDIT_CARD,4,14635.72
10011,12,1,2025-01-25,2-HIGH,CREDIT_CARD,5,24265.89
10012,13,2,2025-01-15,3-NORMAL,CORPORATE_INVOICE,7,38018.64
10013,14,3,2025-04-05,3-NORMAL,WIRE_TRANSFER,5,27939.05
10014,15,4,2025-05-04,3-NORMAL,CREDIT_CARD,3,3263.79
10015,16,5,2025-01-02,1-URGENT,WIRE_TRANSFER,5,23091.89
10016,17,1,2025-04-11,4-LOW,WIRE_TRANSFER,7,40423.7
10017,18,2,2025-06-29,2-HIGH,WIRE_TRANSFER,7,34222.13
10018,19,3,2025-04-06,3-NORMAL,WIRE_TRANSFER,5,24291.77
10019,20,4,2025-01-12,1-URGENT,CORPORATE_INVOICE,6,21256.67
10020,21,5,2025-03-08,1-URGENT,WIRE_TRANSFER,7,33188.14
10021,22,1,2025-02-26,1-URGENT,WIRE_TRANSFER,7,27143.21
10022,23,2,2025/05/06,2-HIGH,WIRE_TRANSFER,5,21535.6
10023,24,3,2025/05/10,2-HIGH,CORPORATE_INVOICE,4,21020.25
10024,25,4,2025-06-26,1-URGENT,WIRE_TRANSFER,5,14990.99
10025,26,5,2025-04-13,4-LOW,CREDIT_CARD,4,21627.14
10026,27,1,2025-04-13,3-NORMAL,CREDIT_CARD,3,9443.85
10027,28,2,2025-05-17,4-LOW,CORPORATE_INVOICE,4,11303.52
10028,29,3,2025-01-17,4-LOW,CORPORATE_INVOICE,4,23033.33
10029,30,4,2025-01-22,2-HIGH,CORPORATE_INVOICE,4,27324.99
10030,31,5,2025-05-07,4-LOW,CORPORATE_INVOICE,7,30713.3
10031,32,1,2025-05-23,3-NORMAL,CREDIT_CARD,4,17351.19
10032,33,2,2025-03-23,4-LOW,CREDIT_CARD,3,7419.68
10033,34,3,2025-02-10,4-LOW,WIRE_TRANSFER,5,16568.15
10034,35,4,2025/06/28,2-HIGH,WIRE_TRANSFER,6,18906.98
10035,36,5,2025-03-12,3-NORMAL,CORPORATE_INVOICE,7,48279.92
10036,37,1,2025-06-06,1-URGENT,CORPORATE_INVOICE,4,12829.0
10037,38,2,2025-04-15,1-URGENT,CREDIT_CARD,3,12286.29
10038,39,3,2025-01-31,1-URGENT,WIRE_TRANSFER,7,24162.72
10039,40,4,2025-05-21,1-URGENT,WIRE_TRANSFER,4,5308.99
10040,41,5,2025-02-21,1-URGENT,WIRE_TRANSFER,6,9196.34
10041,42,1,2025-04-19,3-NORMAL,WIRE_TRANSFER,7,38294.92
10042,43,2,2025-01-18,2-HIGH,CORPORATE_INVOICE,4,13986.9
10043,44,3,2025-04-20,2-HIGH,WIRE_TRANSFER,3,18122.84
10044,45,4,2025-04-02,2-HIGH,CORPORATE_INVOICE,4,11522.12
10045,46,5,2025-04-13,4-LOW,WIRE_TRANSFER,7,17123.14
10046,47,1,2025-06-13,2-HIGH,CREDIT_CARD,6,30032.49
10047,48,2,2025-04-11,2-HIGH,CORPORATE_INVOICE,6,32331.34
10048,49,3,2025-02-28,1-URGENT,CORPORATE_INVOICE,7,43841.5
10049,50,4,2025-03-14,2-HIGH,WIRE_TRANSFER,4,15303.54
10050,51,5,2025-05-03,2-HIGH,CREDIT_CARD,6,37263.04
10051,52,1,2025/02/13,3-NORMAL,CREDIT_CARD,3,26287.02
10052,53,2,2025-02-05,2-HIGH,WIRE_TRANSFER,5,37862.51
10053,54,3,2025-03-24,3-NORMAL,CORPORATE_INVOICE,5,13007.35
10054,55,4,2025-06-12,3-NORMAL,CORPORATE_INVOICE,5,32988.63
10055,56,5,2025-06-19,1-URGENT,CORPORATE_INVOICE,3,3542.9
10056,57,1,2025-04-30,4-LOW,CORPORATE_INVOICE,5,22405.87
10057,58,2,2025-04-16,1-URGENT,WIRE_TRANSFER,5,15076.72
10058,59,3,2025-01-15,2-HIGH,WIRE_TRANSFER,3,12640.52
10059,60,4,2025-04-02,2-HIGH,CORPORATE_INVOICE,3,17335.83
10060,61,5,2025-06-26,2-HIGH,CREDIT_CARD,6,24015.86
10061,62,1,2025-05-01,4-LOW,CREDIT_CARD,7,24009.47
10062,63,2,2025-05-28,3-NORMAL,WIRE_TRANSFER,6,17641.36
10063,64,3,2025-04-01,4-LOW,CORPORATE_INVOICE,6,29545.39
10064,65,4,2025-05-05,2-HIGH,CORPORATE_INVOICE,6,13169.17
10065,66,5,2025-05-15,2-HIGH,CREDIT_CARD,3,21666.65
10066,67,1,2025-01-05,1-URGENT,CREDIT_CARD,5,16266.92
10067,68,2,2025-03-14,4-LOW,CREDIT_CARD,5,13974.05
