cust_id,cust_name,mkt_segment,nation_name
1,Customer#000001,BUILDING,UNITED STATES
2,Customer#000002,MACHINERY,FRANCE
3,Customer#000003,AUTOMOBILE,GERMANY
4,Customer#000004,BUILDING,UNITED KINGDOM
5,Customer#000005,FURNITURE,AUSTRALIA
6,Customer#000006,BUILDING,UNITED STATES
7,Customer#000007,BUILDING,FRANCE
8,Customer#000008,AUTOMOBILE,UNITED STATES
9,Customer#000009,FURNITURE,FRANCE
10,Customer#000010,FURNITURE,AUSTRALIA
11,Customer#000011,AUTOMOBILE,CANADA
12,Customer#000012,FURNITURE,JAPAN
13,Customer#000013,BUILDING,GERMANY
14,Customer#000014,HOUSEHOLD,BRAZIL
15,Customer#000015,MACHINERY,GERMANY
16,Customer#000016,AUTOMOBILE,BRAZIL
17,Customer#000017,BUILDING,UNITED KINGDOM
18,Customer#000018,HOUSEHOLD,UNITED KINGDOM
19,Customer#000019,MACHINERY,BRAZIL
20,Customer#000020,FURNITURE,JAPAN
21,Customer#000021,BUILDING,CANADA
22,Customer#000022,FURNITURE,UNITED KINGDOM
23,Customer#000023,HOUSEHOLD,UNITED KINGDOM
24,Customer#000024,FURNITURE,JAPAN
25,Customer#000025,FURNITURE,BRAZIL
26,Customer#000026,FURNITURE,FRANCE
27,Customer#000027,BUILDING,UNITED STATES
28,Customer#000028,AUTOMOBILE,JAPAN
29,Customer#000029,BUILDING,FRANCE
30,Customer#000030,BUILDING,AUSTRALIA
31,Customer#000031,MACHINERY,CANADA
32,Customer#000032,MACHINERY,GERMANY
33,Customer#000033,MACHINERY,BRAZIL
34,Customer#000034,AUTOMOBILE,JAPAN
35,Customer#000035,BUILDING,GERMANY
36,Customer#000036,FURNITURE,FRANCE
37,Customer#000037,AUTOMOBILE,CANADA
38,Customer#000038,HOUSEHOLD,JAPAN
39,Customer#000039,FURNITURE,FRANCE
40,Customer#000040,MACHINERY,UNITED STATES
41,Customer#000041,AUTOMOBILE,UNITED STATES
42,Customer#000042,MACHINERY,AUSTRALIA
43,Customer#000043,MACHINERY,UNITED KINGDOM
44,Customer#000044,AUTOMOBILE,BRAZIL
45,Customer#000045,AUTOMOBILE,CANADA
46,Customer#000046,HOUSEHOLD,CANADA
47,Customer#000047,AUTOMOBILE,JAPAN
48,Customer#000048,AUTOMOBILE,FRANCE
49,Customer#000049,FURNITURE,JAPAN
50,Customer#000050,FURNITURE,AUSTRALIA
51,Customer#000051,FURNITURE,AUSTRALIA
52,Customer#000052,MACHINERY,FRANCE
53,Customer#000053,AUTOMOBILE,CANADA
54,Customer#000054,BUILDING,UNITED STATES
55,Customer#000055,BUILDING,GERMANY
56,Customer#000056,AUTOMOBILE,AUSTRALIA
57,Customer#000057,FURNITURE,UNITED KINGDOM
58,Customer#000058,HOUSEHOLD,AUSTRALIA
59,Customer#000059,FURNITURE,CANADA
60,Customer#000060,FURNITURE,JAPAN
61,Customer#000061,FURNITURE,UNITED STATES
62,Customer#000062,BUILDING,JAPAN
63,Customer#000063,MACHINERY,UNITED KINGDOM
64,Customer#000064,MACHINERY,AUSTRALIA
65,Customer#000065,AUTOMOBILE,CANADA
66,Customer#000066,BUILDING,JAPAN
67,Customer#000067,FURNITURE,GERMANY
68,Customer#000068,FURNITURE,UNITED KINGDOM
69,Customer#000069,MACHINERY,FRANCE
70,Customer#000070,AUTOMOBILE,BRAZIL
71,Customer#000071,AUTOMOBILE,UNITED STATES
72,Customer#000072,FURNITURE,BRAZIL
73,Customer#000073,HOUSEHOLD,UNITED STATES
74,Customer#000074,BUILDING,BRAZIL
75,Customer#000075,MACHINERY,FRANCE
76,Customer#000076,BUILDING,FRANCE
77,Customer#000077,FURNITURE,UNITED KINGDOM
78,Customer#000078,BUILDING,CANADA
79,Customer#000079,BUILDING,GERMANY
80,Customer#000080,AUTOMOBILE,CANADA
81,Customer#000081,FURNITURE,GERMANY
82,Customer#000082,MACHINERY,AUSTRALIA
83,Customer#000083,AUTOMOBILE,FRANCE
84,Customer#000084,MACHINERY,AUSTRALIA
85,Customer#000085,MACHINERY,CANADA
86,Customer#000086,FURNITURE,CANADA
87,Customer#000087,BUILDING,FRANCE
88,Customer#000088,AUTOMOBILE,UNITED KINGDOM
89,Customer#000089,MACHINERY,UNITED STATES
90,Customer#000090,FURNITURE,FRANCE
91,Customer#000091,FURNITURE,FRANCE
92,Customer#000092,BUILDING,UNITED KINGDOM
93,Customer#000093,BUILDING,FRANCE
94,Customer#000094,BUILDING,UNITED STATES
95,Customer#000095,MACHINERY,UNITED KINGDOM
96,Customer#000096,FURNITURE,FRANCE
97,Customer#000097,MACHINERY,CANADA
98,Customer#000098,AUTOMOBILE,GERMANY
99,Customer#000099,FURNITURE,CANADA
100,Customer#000100,AUTOMOBILE,CANADA
101,Customer#000101,HOUSEHOLD,FRANCE
102,Customer#000102,BUILDING,UNITED KINGDOM
103,Customer#000103,HOUSEHOLD,BRAZIL
104,Customer#000104,HOUSEHOLD,AUSTRALIA
105,Customer#000105,HOUSEHOLD,UNITED STATES
106,Customer#000106,BUILDING,UNITED STATES
107,Customer#000107,HOUSEHOLD,BRAZIL
108,Customer#000108,BUILDING,FRANCE
109,Customer#000109,AUTOMOBILE,FRANCE
110,Customer#000110,FURNITURE,CANADA
111,Customer#000111,AUTOMOBILE,AUSTRALIA
112,Customer#000112,AUTOMOBILE,JAPAN
113,Customer#000113,HOUSEHOLD,FRANCE
114,Customer#000114,BUILDING,CANADA
115,Customer#000115,FURNITURE,UNITED KINGDOM
116,Customer#000116,BUILDING,UNITED STATES
117,Customer#000117,BUILDING,FRANCE
118,Customer#000118,AUTOMOBILE,AUSTRALIA
119,Customer#000119,HOUSEHOLD,CANADA
120,Customer#000120,AUTOMOBILE,AUSTRALIA
121,Customer#000121,BUILDING,GERMANY
122,Customer#000122,HOUSEHOLD,UNITED STATES
123,Customer#000123,HOUSEHOLD,JAPAN
124,Customer#000124,HOUSEHOLD,JAPAN
125,Customer#000125,HOUSEHOLD,CANADA
126,Customer#000126,AUTOMOBILE,FRANCE
127,Customer#000127,MACHINERY,FRANCE
128,Customer#000128,BUILDING,UNITED STATES
129,Customer#000129,MACHINERY,UNITED STATES
130,Customer#000130,BUILDING,CANADA
131,Customer#000131,FURNITURE,GERMANY
132,Customer#000132,BUILDING,UNITED KINGDOM
133,Customer#000133,AUTOMOBILE,UNITED KINGDOM
134,Customer#000134,FURNITURE,UNITED KINGDOM
135,Customer#000135,AUTOMOBILE,AUSTRALIA
136,Customer#000136,BUILDING,FRANCE
137,Customer#000137,FURNITURE,UNITED STATES
138,Customer#000138,FURNITURE,UNITED KINGDOM
139,Customer#000139,HOUSEHOLD,BRAZIL
140,Customer#000140,MACHINERY,FRANCE
141,Customer#000141,MACHINERY,FRANCE
142,Customer#000142,MACHINERY,AUSTRALIA
143,Customer#000143,AUTOMOBILE,JAPAN
144,Customer#000144,HOUSEHOLD,BRAZIL
145,Customer#000145,BUILDING,UNITED STATES
146,Customer#000146,HOUSEHOLD,UNITED KINGDOM
147,Customer#000147,BUILDING,FRANCE
148,Customer#000148,FURNITURE,JAPAN
149,Customer#000149,AUTOMOBILE,BRAZIL
150,Customer#000150,BUILDING,FRANCE
151,Customer#000151,MACHINERY,JAPAN
152,Customer#000152,AUTOMOBILE,CANADA
153,Customer#000153,FURNITURE,JAPAN
154,Customer#000154,FURNITURE,UNITED STATES
155,Customer#000155,FURNITURE,JAPAN
156,Customer#000156,BUILDING,GERMANY
157,Customer#000157,MACHINERY,UNITED KINGDOM
158,Customer#000158,BUILDING,GERMANY
159,Customer#000159,MACHINERY,JAPAN
160,Customer#000160,FURNITURE,FRANCE
161,Customer#000161,MACHINERY,FRANCE
162,Customer#000162,MACHINERY,CANADA
163,Customer#000163,MACHINERY,UNITED STATES
164,Customer#000164,BUILDING,AUSTRALIA
165,Customer#000165,MACHINERY,UNITED STATES
166,Customer#000166,BUILDING,BRAZIL
167,Customer#000167,AUTOMOBILE,JAPAN
168,Customer#000168,AUTOMOBILE,CANADA
169,Customer#000169,FURNITURE,AUSTRALIA
170,Customer#000170,FURNITURE,UNITED STATES
171,Customer#000171,BUILDING,UNITED KINGDOM
172,Customer#000172,AUTOMOBILE,UNITED STATES
173,Customer#000173,MACHINERY,GERMANY
174,Customer#000174,HOUSEHOLD,GERMANY
175,Customer#000175,BUILDING,JAPAN
176,Customer#000176,MACHINERY,UNITED STATES
177,Customer#000177,MACHINERY,FRANCE
178,Customer#000178,AUTOMOBILE,UNITED KINGDOM
179,Customer#000179,MACHINERY,AUSTRALIA
180,Customer#000180,FURNITURE,GERMANY
181,Customer#000181,AUTOMOBILE,GERMANY
182,Customer#000182,AUTOMOBILE,AUSTRALIA
183,Customer#000183,BUILDING,GERMANY
184,Customer#000184,MACHINERY,AUSTRALIA
185,Customer#000185,AUTOMOBILE,JAPAN
186,Customer#000186,AUTOMOBILE,UNITED KINGDOM
187,Customer#000187,HOUSEHOLD,UNITED STATES
188,Customer#000188,HOUSEHOLD,FRANCE
189,Customer#000189,AUTOMOBILE,CANADA
190,Customer#000190,MACHINERY,JAPAN
191,Customer#000191,AUTOMOBILE,FRANCE
192,Customer#000192,BUILDING,FRANCE
193,Customer#000193,HOUSEHOLD,BRAZIL
194,Customer#000194,MACHINERY,UNITED KINGDOM
195,Customer#000195,MACHINERY,BRAZIL
196,Customer#000196,FURNITURE,AUSTRALIA
197,Customer#000197,FURNITURE,BRAZIL
198,Customer#000198,BUILDING,UNITED KINGDOM
199,Customer#000199,MACHINERY,GERMANY
200,Customer#000200,FURNITURE,JAPAN
201,Customer#000201,BUILDING,UNITED KINGDOM
202,Customer#000202,FURNITURE,AUSTRALIA
203,Customer#000203,MACHINERY,BRAZIL
204,Customer#000204,HOUSEHOLD,UNITED KINGDOM
205,Customer#000205,HOUSEHOLD,FRANCE
206,Customer#000206,MACHINERY,UNITED STATES
207,Customer#000207,HOUSEHOLD,UNITED STATES
208,Customer#000208,FURNITURE,FRANCE
209,Customer#000209,MACHINERY,AUSTRALIA
210,Customer#000210,BUILDING,BRAZIL
211,Customer#000211,FURNITURE,BRAZIL
212,Customer#000212,BUILDING,JAPAN
213,Customer#000213,FURNITURE,JAPAN
214,Customer#000214,HOUSEHOLD,BRAZIL
215,Customer#000215,HOUSEHOLD,JAPAN
216,Customer#000216,FURNITURE,GERMANY
217,Customer#000217,AUTOMOBILE,AUSTRALIA
218,Customer#000218,HOUSEHOLD,GERMANY
219,Customer#000219,FURNITURE,JAPAN
220,Customer#000220,HOUSEHOLD,UNITED STATES
221,Customer#000221,MACHINERY,JAPAN
222,Customer#000222,AUTOMOBILE,AUSTRALIA
223,Customer#000223,FURNITURE,BRAZIL
224,Customer#000224,HOUSEHOLD,CANADA
225,Customer#000225,HOUSEHOLD,FRANCE
226,Customer#000226,FURNITURE,CANADA
227,Customer#000227,AUTOMOBILE,UNITED KINGDOM
228,Customer#000228,MACHINERY,BRAZIL
229,Customer#000229,BUILDING,FRANCE
230,Customer#000230,MACHINERY,FRANCE
231,Customer#000231,AUTOMOBILE,GERMANY
