order_id,line_number,part_id,quantity,extended_price,discount,tax,return_flag,line_status,ship_date,commit_date
1001,1,256,17,2327.98,0.05,0.08,N,O,2025-02-20,2025-02-15
1001,2,274,11,320.32,0.1,0.08,N,O,2025-02-10,2025-02-15
1002,1,217,20,1144.6,0.02,0.08,N,O,2025-03-15,2025-03-14
1002,2,100,20,760.6,0.0,0.08,N,O,2025-03-15,2025-03-14
1003,1,120,3,502.74,0.1,0.08,N,O,2025-04-27,2025-04-26
1003,2,131,12,2275.08,0.1,0.08,N,O,2025-04-30,2025-04-26
1003,3,253,12,989.88,0.0,0.08,N,O,2025-04-18,2025-04-26
1003,4,218,12,1848.6,0.1,0.08,N,O,2025-04-17,2025-04-26
1003,5,156,1,168.75,0.05,0.08,N,O,2025-04-20,2025-04-26
1004,1,159,16,2301.92,0.0,0.08,N,O,2025-01-29,2025-02-03
1004,2,226,20,1576.0,0.02,0.08,N,O,2025-02-07,2025-02-03
1005,1,245,17,2796.84,0.02,0.08,N,F,2025-06-24,2025-06-23
1005,2,272,20,1500.4,0.0,0.08,N,F,2025-06-23,2025-06-23
1005,3,116,5,538.85,0.02,0.08,N,F,2025-06-28,2025-06-23
1006,1,257,9,1234.98,0.1,0.08,N,O,2025-02-20,2025-03-01
1006,2,209,2,61.54,0.05,0.08,N,O,2025-02-26,2025-03-01
1006,3,204,9,1280.07,0.1,0.08,N,O,2025-02-27,2025-03-01
1006,4,192,17,692.92,0.02,0.08,N,O,2025-02-20,2025-03-01
1006,5,171,14,1874.18,0.05,0.08,N,O,2025-02-20,2025-03-01
1007,1,246,1,138.63,0.02,0.08,N,O,2025-04-23,2025-04-21
1008,1,142,11,1045.88,0.0,0.08,N,F,2025-04-20,2025-04-29
1008,2,106,19,3394.16,0.05,0.08,N,F,2025-05-03,2025-04-29
1009,1,113,11,1593.46,0.02,0.08,N,F,2025-01-30,2025-02-07
1009,2,258,15,902.1,0.1,0.08,N,F,2025-02-07,2025-02-07
1009,3,115,2,70.14,0.0,0.08,N,F,2025-02-10,2025-02-07
1010,1,260,14,1259.72,0.0,0.08,N,O,2025-05-03,2025-05-04
1010,2,113,10,1632.4,0.1,0.08,N,O,2025-04-26,2025-05-04
1010,3,258,14,684.88,0.0,0.08,N,O,2025-05-02,2025-05-04
1010,4,198,15,2351.25,0.0,0.08,N,O,2025-04-30,2025-05-04
1010,5,266,1,101.39,0.05,0.08,N,O,2025-05-04,2025-05-04
1011,1,282,3,278.13,0.02,0.08,N,F,2025-02-12,2025-02-07
1011,2,263,17,2329.34,0.1,0.08,N,F,2025-02-05,2025-02-07
1011,3,213,6,437.34,0.0,0.08,N,F,2025-01-29,2025-02-07
1011,4,249,14,2072.0,0.05,0.08,N,F,2025-02-02,2025-02-07
1011,5,238,5,467.7,0.05,0.08,N,F,2025-02-07,2025-02-07
1012,1,268,5,675.95,0.0,0.08,N,O,2025-04-12,2025-04-15
1012,2,188,7,750.68,0.02,0.08,N,O,2025-04-18,2025-04-15
1012,3,117,11,1207.47,0.1,0.08,N,O,2025-04-17,2025-04-15
1012,4,277,15,1314.3,0.05,0.08,N,O,2025-04-19,2025-04-15
1012,5,248,19,3563.83,0.05,0.08,N,O,2025-04-12,2025-04-15
1013,1,110,16,550.88,0.0,0.08,N,F,2025-04-06,2025-04-05
1013,2,158,15,695.85,0.02,0.08,N,F,2025-04-03,2025-04-05
1013,3,184,13,766.35,0.02,0.08,N,F,2025-04-09,2025-04-05
1013,4,192,1,30.93,0.0,0.08,N,F,2025-04-04,2025-04-05
1014,1,295,12,1191.24,0.0,0.08,N,F,2025-03-20,2025-03-26
1014,2,144,8,560.72,0.02,0.08,N,F,2025-03-22,2025-03-26
1014,3,162,6,984.0,0.02,0.08,N,F,2025-03-30,2025-03-26
1014,4,125,1,175.55,0.02,0.08,N,F,2025-03-23,2025-03-26
1014,5,128,11,698.06,0.05,0.08,N,F,2025-03-24,2025-03-26
1015,1,211,3,470.16,0.02,0.08,N,O,2025-07-02,2025-06-29
1015,2,148,7,883.12,0.05,0.08,N,O,2025-06-25,2025-06-29
1015,3,253,14,1430.8,0.02,0.08,N,O,2025-07-04,2025-06-29
1015,4,111,20,1676.8,0.05,0.08,N,O,2025-07-02,2025-06-29
1015,5,138,11,313.06,0.05,0.08,N,O,2025-07-03,2025-06-29
1016,1,220,20,671.6,0.1,0.08,N,F,2025-02-15,2025-02-12
1017,1,218,6,736.26,0.05,0.08,N,O,2025-05-20,2025-05-21
1017,2,277,16,1462.56,0.1,0.08,N,O,2025-05-19,2025-05-21
1017,3,168,19,3379.53,0.0,0.08,N,O,2025-05-15,2025-05-21
1017,4,156,7,1053.92,0.02,0.08,N,O,2025-05-18,2025-05-21
1017,5,155,10,1542.2,0.1,0.08,N,O,2025-05-21,2025-05-21
1018,1,121,5,604.8,0.05,0.08,N,O,2025-02-18,2025-02-20
1018,2,232,12,1942.92,0.0,0.08,N,O,2025-02-18,2025-02-20
1018,3,231,20,823.2,0.1,0.08,N,O,2025-02-18,2025-02-20
1018,4,210,14,868.0,0.1,0.08,N,O,2025-02-16,2025-02-20
1018,5,169,13,1576.25,0.1,0.08,N,O,2025-02-14,2025-02-20
1019,1,175,17,690.37,0.0,0.08,N,O,2025-03-22,2025-03-19
1020,1,118,12,1779.72,0.02,0.08,N,F,2025-03-18,2025-03-22
1021,1,148,20,2972.2,0.05,0.08,N,O,2025-03-07,2025-03-16
1021,2,297,10,1465.5,0.05,0.08,N,O,2025-03-19,2025-03-16
1021,3,203,13,1999.4,0.0,0.08,N,O,2025-03-14,2025-03-16
1022,1,158,7,306.81,0.1,0.08,N,O,2025-06-29,2025-06-27
1022,2,218,11,1613.59,0.05,0.08,N,O,2025-07-01,2025-06-27
1023,1,153,15,2385.15,0.0,0.08,N,O,2025-02-24,2025-02-28
1023,2,135,19,3917.61,0.05,0.08,N,O,2025-03-02,2025-02-28
1023,3,102,16,3131.36,0.05,0.08,N,O,2025-02-24,2025-02-28
1023,4,157,14,774.76,0.1,0.08,N,O,2025-03-03,2025-02-28
1024,1,105,19,1000.73,0.02,0.08,N,O,2025-06-29,2025-07-06
1024,2,184,19,1327.91,0.1,0.08,N,O,2025-07-03,2025-07-06
1024,3,152,13,637.52,0.1,0.08,N,O,2025-06-30,2025-07-06
