order_id,cust_id,order_status,total_price,order_date,order_priority
1001,1,O,2499.87,2025-02-05,3-MEDIUM
1002,1,O,1882.31,2025-03-04,3-MEDIUM
1003,2,O,5313.97,2025-04-16,4-LOW
1004,2,P,3846.4,2025-01-24,3-MEDIUM
1005,2,F,4769.37,2025-06-13,4-LOW
1006,3,P,4781.53,2025-02-19,1-URGENT
1007,3,O,135.86,2025-04-11,2-HIGH
1008,3,F,4270.33,2025-04-19,1-URGENT
1009,3,F,2443.62,2025-01-28,4-LOW
1010,3,O,5861.33,2025-04-24,1-URGENT
1011,4,F,5219.03,2025-01-28,1-URGENT
1012,4,P,7132.56,2025-04-05,1-URGENT
1013,4,F,2014.76,2025-03-26,2-HIGH
1014,4,F,3540.27,2025-03-16,4-LOW
1015,5,P,4592.27,2025-06-19,2-HIGH
1016,5,F,604.44,2025-02-02,4-LOW
1017,5,O,7816.1,2025-05-11,3-MEDIUM
1018,5,O,5458.18,2025-02-10,3-MEDIUM
1019,5,O,690.37,2025-03-09,1-URGENT
1020,5,F,1744.13,2025-03-12,2-HIGH
1021,6,P,6215.21,2025-03-06,3-MEDIUM
1022,6,O,1809.04,2025-06-17,2-HIGH
1023,6,P,9778.95,2025-02-18,4-LOW
1024,6,O,3288.52,2025-06-26,3-MEDIUM
1025,6,F,2448.35,2025-06-26,4-LOW
1026,6,O,3750.68,2025-02-13,3-MEDIUM
1027,7,F,2916.4,2025-03-12,2-HIGH
1028,7,O,4119.94,2025-06-15,4-LOW
1029,7,F,5252.92,2025-06-28,1-URGENT
1030,7,O,4600.69,2025-01-27,3-MEDIUM
1031,7,O,2238.73,2025-06-21,4-LOW
1032,7,P,3261.61,2025-01-20,1-URGENT
1033,7,O,64.08,2025-06-26,3-MEDIUM
1034,7,O,1285.11,2025-02-21,2-HIGH
1035,8,P,1469.13,2025-06-20,2-HIGH
1036,8,F,1285.22,2025-01-31,2-HIGH
1037,9,F,1475.9,2025-02-24,4-LOW
1038,9,O,7269.74,2025-02-25,4-LOW
1039,9,F,427.54,2025-05-31,1-URGENT
1040,9,F,5397.66,2025-01-21,1-URGENT
1041,9,F,1349.16,2025-04-17,3-MEDIUM
1042,9,F,2218.23,2025-05-14,3-MEDIUM
1043,9,O,4742.43,2025-03-05,3-MEDIUM
1044,10,O,1750.7,2025-03-07,4-LOW
1045,10,O,4123.18,2025-04-14,4-LOW
1046,10,P,1532.24,2025-05-06,3-MEDIUM
1047,11,P,229.59,2025-01-09,3-MEDIUM
1048,11,F,5359.27,2025-02-07,3-MEDIUM
1049,11,P,3234.97,2025-02-23,4-LOW
1050,11,O,571.83,2025-02-04,2-HIGH
1051,11,P,4811.46,2025-04-15,4-LOW
1052,11,O,3338.24,2025-06-04,3-MEDIUM
1053,11,P,863.57,2025-02-05,1-URGENT
1054,11,P,1937.26,2025-04-26,4-LOW
1055,12,P,885.42,2025-04-09,3-MEDIUM
1056,12,O,2931.84,2025-04-25,1-URGENT
1057,13,P,4703.06,2025-04-07,4-LOW
1058,13,P,6891.24,2025-06-23,2-HIGH
1059,13,P,1556.42,2025-06-30,4-LOW
1060,13,F,7145.62,2025-02-27,1-URGENT
1061,13,P,1493.52,2025-05-29,1-URGENT
1062,13,P,3177.78,2025-05-28,1-URGENT
1063,14,P,4759.19,2025-01-31,3-MEDIUM
1064,15,F,1310.6,2025-01-31,1-URGENT
1065,16,O,4716.56,2025-06-01,2-HIGH
1066,16,F,3016.3,2025-02-23,1-URGENT
1067,17,P,4768.47,2025-05-14,3-MEDIUM
1068,17,P,880.15,2025-06-23,4-LOW
1069,17,O,4382.61,2025-02-09,3-MEDIUM
1070,17,O,1739.25,2025-01-03,1-URGENT
1071,17,P,5653.76,2025-05-16,3-MEDIUM
1072,17,P,2610.22,2025-06-13,3-MEDIUM
1073,18,O,2203.6,2025-05-14,2-HIGH
1074,18,P,3764.7,2025-01-21,1-URGENT
1075,18,O,4425.45,2025-06-23,2-HIGH
1076,18,P,2155.57,2025-04-25,2-HIGH
1077,18,O,5206.4,2025-03-20,1-URGENT
1078,18,O,4958.99,2025-05-01,4-LOW
1079,18,F,1739.58,2025-02-18,3-MEDIUM
1080,19,P,2662.95,2025-03-25,4-LOW
1081,19,P,2746.81,2025-04-20,2-HIGH
1082,19,O,1072.74,2025-04-20,2-HIGH
1083,20,F,1115.97,2025-02-28,1-URGENT
1084,20,F,3460.38,2025-03-31,4-LOW
1085,20,O,2326.27,2025-06-24,2-HIGH
1086,21,F,1232.1,2025-02-19,4-LOW
1087,21,F,1858.19,2025-02-09,1-URGENT
1088,21,F,5185.96,2025-05-09,1-URGENT
1089,21,P,771.69,2025-03-17,3-MEDIUM
1090,22,O,2667.93,2025-06-13,2-HIGH
1091,23,P,6612.64,2025-03-25,1-URGENT
1092,23,F,3746.33,2025-03-25,3-MEDIUM
1093,23,F,4580.11,2025-06-15,4-LOW
1094,23,F,4885.05,2025-02-09,2-HIGH
1095,23,F,2015.33,2025-03-14,3-MEDIUM
1096,23,O,3158.66,2025-03-23,2-HIGH
1097,24,P,4438.13,2025-04-09,4-LOW
1098,24,O,1132.93,2025-01-29,1-URGENT
1099,24,O,262.52,2025-01-07,4-LOW
1100,24,F,1301.83,2025-06-02,2-HIGH
1101,25,P,390.44,2025-05-01,4-LOW
1102,25,P,9142.23,2025-04-27,3-MEDIUM
1103,25,F,2701.41,2025-04-08,2-HIGH
1104,25,F,3980.56,2025-06-13,1-URGENT
1105,25,O,4598.62,2025-02-03,1-URGENT
1106,26,P,2921.56,2025-06-24,2-HIGH
1107,26,F,2562.5,2025-06-24,4-LOW
1108,26,O,1050.85,2025-05-21,1-URGENT
1109,26,P,1652.26,2025-01-18,3-MEDIUM
1110,27,O,5482.9,2025-03-15,4-LOW
1111,27,P,2375.73,2025-04-10,4-LOW
1112,27,P,1126.64,2025-01-22,2-HIGH
1113,27,P,4763.88,2025-03-23,3-MEDIUM
1114,27,P,4222.72,2025-02-24,1-URGENT
1115,27,O,1418.48,2025-04-20,3-MEDIUM
1116,28,F,4217.54,2025-01-03,2-HIGH
1117,28,F,6896.12,2025-03-31,2-HIGH
1118,28,P,1519.98,2025-01-27,1-URGENT
1119,28,P,3182.11,2025-04-24,1-URGENT
1120,28,P,1480.73,2025-04-06,2-HIGH
1121,28,O,3012.71,2025-05-13,3-MEDIUM
1122,28,P,2064.26,2025-06-12,4-LOW
1123,29,O,2873.19,2025-05-22,2-HIGH
1124,29,P,3699.17,2025-04-08,1-URGENT
1125,29,O,171.93,2025-03-08,1-URGENT
1126,29,F,1813.73,2025-04-28,1-URGENT
1127,29,P,2052.46,2025-01-19,4-LOW
1128,30,O,526.11,2025-02-11,2-HIGH
1129,30,O,2990.09,2025-03-29,3-MEDIUM
1130,30,P,7489.23,2025-01-24,3-MEDIUM
1131,30,P,1542.02,2025-03-11,3-MEDIUM
1132,30,O,2278.0,2025-06-11,1-URGENT
1133,30,O,1442.37,2025-02-16,3-MEDIUM
1134,30,F,6401.84,2025-01-03,3-MEDIUM
1135,30,O,1993.43,2025-01-12,3-MEDIUM
1136,31,O,1942.39,2025-03-02,1-URGENT
1137,31,F,3908.15,2025-02-03,4-LOW
1138,31,P,1842.94,2025-01-27,3-MEDIUM
1139,31,F,5709.47,2025-06-28,2-HIGH
1140,31,O,7205.21,2025-01-04,2-HIGH
1141,31,O,1621.42,2025-06-08,2-HIGH
1142,31,F,4136.43,2025-01-29,2-HIGH
1143,32,P,4007.61,2025-02-15,3-MEDIUM
1144,32,F,5158.41,2025-02-22,2-HIGH
1145,32,F,2611.15,2025-04-27,2-HIGH
1146,32,O,4760.8,2025-01-25,1-URGENT
1147,32,F,3665.13,2025-03-11,1-URGENT
1148,32,F,2915.33,2025-03-12,3-MEDIUM
1149,32,O,3192.6,2025-05-26,3-MEDIUM
1150,33,P,2681.7,2025-05-14,3-MEDIUM
1151,33,F,3191.14,2025-05-09,2-HIGH
1152,33,P,853.12,2025-06-23,3-MEDIUM
1153,34,O,2585.57,2025-05-20,2-HIGH
1154,34,F,5965.39,2025-03-04,3-MEDIUM
1155,34,P,1082.89,2025-05-11,1-URGENT
1156,34,P,1296.01,2025-01-02,4-LOW
1157,34,O,1512.92,2025-05-10,4-LOW
1158,34,P,5891.66,2025-03-02,3-MEDIUM
1159,34,O,2790.2,2025-06-20,3-MEDIUM
1160,34,O,4945.57,2025-01-03,2-HIGH
1161,35,F,3215.46,2025-05-28,3-MEDIUM
1162,35,O,665.2,2025-02-14,4-LOW
1163,35,O,3926.25,2025-01-19,4-LOW
1164,36,O,6172.66,2025-02-05,1-URGENT
1165,37,F,2622.08,2025-05-26,1-URGENT
1166,37,O,438.03,2025-03-28,4-LOW
1167,38,O,4428.65,2025-03-30,1-URGENT
1168,39,F,5062.11,2025-05-22,4-LOW
1169,40,F,3824.91,2025-01-20,1-URGENT
1170,41,P,8153.92,2025-06-17,2-HIGH
1171,41,F,1067.36,2025-04-06,2-HIGH
1172,41,O,7360.35,2025-01-22,1-URGENT
1173,41,O,613.72,2025-06-09,4-LOW
1174,41,O,6635.3,2025-05-17,4-LOW
1175,42,P,5142.63,2025-02-01,3-MEDIUM
1176,43,F,5157.19,2025-03-12,3-MEDIUM
1177,43,F,2320.44,2025-03-08,3-MEDIUM
1178,44,O,2785.84,2025-03-25,3-MEDIUM
1179,45,P,2454.96,2025-05-30,1-URGENT
1180,45,P,8045.74,2025-02-01,1-URGENT
1181,45,P,2655.29,2025-01-21,3-MEDIUM
1182,45,P,3391.02,2025-02-07,4-LOW
1183,45,F,2196.72,2025-01-26,2-HIGH
1184,45,P,11397.23,2025-06-11,4-LOW
1185,45,O,3546.44,2025-01-25,2-HIGH
1186,46,O,2281.87,2025-03-15,3-MEDIUM
1187,46,O,3061.03,2025-05-06,1-URGENT
1188,47,O,2977.02,2025-04-24,4-LOW
1189,47,F,4335.54,2025-06-26,3-MEDIUM
1190,48,F,5942.68,2025-01-01,4-LOW
1191,48,F,719.69,2025-05-04,3-MEDIUM
1192,48,P,1495.01,2025-06-28,4-LOW
1193,48,F,10051.18,2025-02-25,4-LOW
1194,49,O,3118.08,2025-01-24,3-MEDIUM
1195,49,F,3390.53,2025-04-12,4-LOW
1196,49,F,1512.49,2025-03-11,1-URGENT
1197,49,P,6698.88,2025-04-11,2-HIGH
1198,49,P,1298.66,2025-02-26,4-LOW
1199,49,O,4234.08,2025-03-01,4-LOW
1200,49,O,3791.84,2025-05-07,3-MEDIUM
1201,50,O,3689.06,2025-03-22,2-HIGH
1202,50,F,8050.31,2025-04-19,4-LOW
1203,50,P,2973.98,2025-02-04,2-HIGH
1204,50,O,1015.34,2025-03-31,2-HIGH
1205,50,P,4456.05,2025-03-20,3-MEDIUM
1206,50,P,5554.79,2025-05-28,3-MEDIUM
1207,50,O,6303.03,2025-05-24,4-LOW
1208,50,F,3865.88,2025-03-31,2-HIGH
1209,51,P,1991.98,2025-03-06,1-URGENT
1210,51,P,3850.96,2025-02-14,4-LOW
1211,51,P,1401.66,2025-02-13,3-MEDIUM
1212,51,P,4489.63,2025-02-19,2-HIGH
1213,51,P,1727.02,2025-05-26,1-URGENT
1214,51,F,4516.78,2025-02-03,3-MEDIUM
1215,52,P,3807.57,2025-02-09,2-HIGH
1216,52,O,2320.92,2025-04-07,1-URGENT
1217,52,O,4217.84,2025-04-18,4-LOW
1218,52,F,4430.57,2025-04-13,4-LOW
1219,52,P,1873.73,2025-03-18,2-HIGH
1220,52,F,1119.86,2025-02-12,4-LOW
1221,52,O,2883.57,2025-04-06,1-URGENT
1222,53,F,3304.99,2025-01-25,4-LOW
1223,53,P,2553.6,2025-04-03,3-MEDIUM
1224,53,O,1302.95,2025-02-28,2-HIGH
1225,53,F,1854.14,2025-04-10,4-LOW
1226,54,O,1757.98,2025-06-17,4-LOW
1227,54,O,6253.15,2025-04-26,3-MEDIUM
1228,54,O,974.88,2025-05-12,4-LOW
1229,54,P,4562.17,2025-04-04,1-URGENT
1230,54,O,1900.6,2025-01-10,1-URGENT
