part_id,part_name,mfgr,category,supply_cost
100,Part#00100,MFGR#5,ELECTRONICS,24.76
101,Part#00101,MFGR#2,FASTENERS,117.19
102,Part#00102,MFGR#5,STRUCTURAL,112.72
103,Part#00103,MFGR#4,HYDRAULICS,23.82
104,Part#00104,MFGR#4,ELECTRONICS,23.31
105,Part#00105,MFGR#2,ELECTRONICS,30.6
106,Part#00106,MFGR#5,HYDRAULICS,103.36
107,Part#00107,MFGR#1,STRUCTURAL,46.03
108,Part#00108,MFGR#1,STRUCTURAL,23.04
109,Part#00109,MFGR#4,HYDRAULICS,26.3
110,Part#00110,MFGR#5,ELECTRONICS,24.92
111,Part#00111,MFGR#5,HARDWARE,52.32
112,Part#00112,MFGR#1,HARDWARE,95.71
113,Part#00113,MFGR#4,FASTENERS,92.75
114,Part#00114,MFGR#4,HARDWARE,97.55
115,Part#00115,MFGR#3,ELECTRONICS,23.75
116,Part#00116,MFGR#4,HYDRAULICS,76.66
117,Part#00117,MFGR#3,ELECTRONICS,80.5
118,Part#00118,MFGR#2,FASTENERS,116.51
119,Part#00119,MFGR#5,ELECTRONICS,34.43
120,Part#00120,MFGR#1,HYDRAULICS,106.52
121,Part#00121,MFGR#1,HYDRAULICS,71.11
122,Part#00122,MFGR#2,HYDRAULICS,27.25
123,Part#00123,MFGR#4,STRUCTURAL,63.32
124,Part#00124,MFGR#3,STRUCTURAL,91.22
125,Part#00125,MFGR#5,ELECTRONICS,100.38
126,Part#00126,MFGR#4,ELECTRONICS,87.52
127,Part#00127,MFGR#2,HARDWARE,24.2
128,Part#00128,MFGR#1,FASTENERS,35.03
129,Part#00129,MFGR#2,HYDRAULICS,105.2
130,Part#00130,MFGR#2,HYDRAULICS,83.11
131,Part#00131,MFGR#5,FASTENERS,103.42
132,Part#00132,MFGR#4,FASTENERS,24.04
133,Part#00133,MFGR#1,HARDWARE,64.77
134,Part#00134,MFGR#2,HYDRAULICS,32.44
135,Part#00135,MFGR#4,HARDWARE,116.21
136,Part#00136,MFGR#5,FASTENERS,105.28
137,Part#00137,MFGR#5,HYDRAULICS,36.14
138,Part#00138,MFGR#1,HARDWARE,20.35
139,Part#00139,MFGR#4,HYDRAULICS,81.19
140,Part#00140,MFGR#5,STRUCTURAL,104.1
141,Part#00141,MFGR#3,HARDWARE,91.76
142,Part#00142,MFGR#4,STRUCTURAL,66.19
143,Part#00143,MFGR#5,HYDRAULICS,77.06
