cust_id,cust_name,mkt_segment,nation_name
1,Customer#000001,BUILDING,UNITED STATES
2,Customer#000002,MACHINERY,FRANCE
3,Customer#000003,AUTOMOBILE,GERMANY
4,Customer#000004,BUILDING,UNITED KINGDOM
5,Customer#000005,FURNITURE,AUSTRALIA
6,Customer#000006,BUILDING,UNITED STATES
7,Customer#000007,BUILDING,FRANCE
8,Customer#000008,AUTOMOBILE,UNITED STATES
9,Customer#000009,FURNITURE,FRANCE
10,Customer#000010,FURNITURE,AUSTRALIA
11,Customer#000011,AUTOMOBILE,CANADA
12,Customer#000012,FURNITURE,JAPAN
13,Customer#000013,BUILDING,GERMANY
14,Customer#000014,HOUSEHOLD,BRAZIL
15,Customer#000015,MACHINERY,GERMANY
16,Customer#000016,AUTOMOBILE,BRAZIL
17,Customer#000017,BUILDING,UNITED KINGDOM
18,Customer#000018,HOUSEHOLD,UNITED KINGDOM
19,Customer#000019,MACHINERY,BRAZIL
20,Customer#000020,FURNITURE,JAPAN
21,Customer#000021,BUILDING,CANADA
22,Customer#000022,FURNITURE,UNITED KINGDOM
23,Customer#000023,HOUSEHOLD,UNITED KINGDOM
24,Customer#000024,FURNITURE,JAPAN
25,Customer#000025,FURNITURE,BRAZIL
26,Customer#000026,FURNITURE,FRANCE
27,Customer#000027,BUILDING,UNITED STATES
28,Customer#000028,AUTOMOBILE,JAPAN
29,Customer#000029,BUILDING,FRANCE
30,Customer#000030,BUILDING,AUSTRALIA
31,Customer#000031,MACHINERY,CANADA
32,Customer#000032,MACHINERY,GERMANY
33,Customer#000033,MACHINERY,BRAZIL
34,Customer#000034,AUTOMOBILE,JAPAN
35,Customer#000035,BUILDING,GERMANY
36,Customer#000036,FURNITURE,FRANCE
37,Customer#000037,AUTOMOBILE,CANADA
38,Customer#000038,HOUSEHOLD,JAPAN
39,Customer#000039,FURNITURE,FRANCE
40,Customer#000040,MACHINERY,UNITED STATES
41,Customer#000041,AUTOMOBILE,UNITED STATES
42,Customer#000042,MACHINERY,AUSTRALIA
43,Customer#000043,MACHINERY,UNITED KINGDOM
44,Customer#000044,AUTOMOBILE,BRAZIL
45,Customer#000045,AUTOMOBILE,CANADA
46,Customer#000046,HOUSEHOLD,CANADA
47,Customer#000047,AUTOMOBILE,JAPAN
48,Customer#000048,AUTOMOBILE,FRANCE
49,Customer#000049,FURNITURE,JAPAN
50,Customer#000050,FURNITURE,AUSTRALIA
