order_id,line_number,part_id,quantity,extended_price,discount,tax,return_flag,line_status,ship_date,commit_date
1001,1,102,17,1582.19,0.1,0.08,N,F,2025-03-04,2025-03-10
1001,2,123,19,1801.77,0.02,0.08,N,F,2025-03-13,2025-03-10
1002,1,113,12,1424.88,0.1,0.08,N,F,2025-03-04,2025-02-28
1002,2,121,4,146.56,0.05,0.08,N,F,2025-03-03,2025-02-28
1002,3,107,7,825.3,0.1,0.08,N,F,2025-02-21,2025-02-28
1003,1,114,18,2239.38,0.0,0.08,N,F,2025-03-15,2025-03-23
1004,1,115,7,1379.77,0.0,0.08,N,O,2025-03-05,2025-03-12
1004,2,112,1,195.9,0.05,0.08,N,O,2025-03-17,2025-03-12
1005,1,123,18,1762.02,0.1,0.08,N,O,2025-04-30,2025-05-07
1005,2,106,10,571.6,0.0,0.08,N,O,2025-05-07,2025-05-07
1005,3,123,18,1376.28,0.05,0.08,N,O,2025-04-28,2025-05-07
1006,1,105,2,283.36,0.0,0.08,N,O,2025-06-13,2025-06-09
1006,2,105,3,373.98,0.02,0.08,N,O,2025-06-06,2025-06-09
1006,3,103,19,824.6,0.0,0.08,N,O,2025-06-09,2025-06-09
1007,1,121,11,436.48,0.1,0.08,N,O,2025-04-21,2025-04-28
1008,1,114,20,3515.4,0.0,0.08,N,F,2025-04-30,2025-05-08
1009,1,128,3,91.77,0.05,0.08,N,F,2025-05-15,2025-05-20
1009,2,126,18,3294.54,0.0,0.08,N,F,2025-05-21,2025-05-20
1010,1,103,4,210.56,0.02,0.08,N,F,2025-03-23,2025-03-28
1010,2,106,11,624.91,0.05,0.08,N,F,2025-03-27,2025-03-28
1011,1,100,11,2058.54,0.05,0.08,N,O,2025-01-27,2025-02-03
1012,1,103,3,169.26,0.02,0.08,N,O,2025-05-31,2025-06-01
1013,1,104,14,1441.44,0.05,0.08,N,O,2025-01-16,2025-01-20
1013,2,128,2,61.58,0.02,0.08,N,O,2025-01-21,2025-01-20
1013,3,107,4,505.52,0.1,0.08,N,O,2025-01-20,2025-01-20
1014,1,128,14,304.78,0.05,0.08,N,F,2025-02-22,2025-02-19
1015,1,125,4,336.68,0.0,0.08,N,O,2025-07-05,2025-07-01
1016,1,109,8,507.2,0.02,0.08,N,O,2025-03-05,2025-03-08
1016,2,110,9,244.17,0.05,0.08,N,O,2025-03-04,2025-03-08
1017,1,110,1,20.24,0.05,0.08,N,O,2025-06-17,2025-06-24
1017,2,118,9,241.47,0.1,0.08,N,O,2025-06-20,2025-06-24
1017,3,123,11,988.35,0.0,0.08,N,O,2025-06-21,2025-06-24
1018,1,122,14,566.44,0.02,0.08,N,O,2025-06-03,2025-06-07
1019,1,119,11,434.94,0.0,0.08,N,O,2025-05-03,2025-05-01
1019,2,128,10,267.5,0.1,0.08,N,O,2025-04-27,2025-05-01
1020,1,106,14,955.78,0.1,0.08,N,O,2025-07-09,2025-07-08
1021,1,126,1,156.78,0.02,0.08,N,O,2025-02-21,2025-02-24
1021,2,125,19,1744.58,0.05,0.08,N,O,2025-02-22,2025-02-24
1021,3,114,15,2360.4,0.1,0.08,N,O,2025-02-27,2025-02-24
1022,1,121,20,826.6,0.02,0.08,N,O,2025-02-24,2025-02-23
1022,2,109,8,635.6,0.02,0.08,N,O,2025-02-14,2025-02-23
1022,3,101,8,559.92,0.0,0.08,N,O,2025-02-21,2025-02-23
1023,1,112,16,2536.16,0.02,0.08,N,O,2025-04-28,2025-04-27
1023,2,122,1,57.75,0.0,0.08,N,O,2025-04-30,2025-04-27
1023,3,113,8,856.08,0.1,0.08,N,O,2025-04-18,2025-04-27
1024,1,121,17,892.16,0.05,0.08,N,F,2025-02-14,2025-02-11
1024,2,119,17,614.21,0.1,0.08,N,F,2025-02-16,2025-02-11
1025,1,126,9,1684.08,0.1,0.08,N,O,2025-05-13,2025-05-12
1026,1,109,8,517.92,0.05,0.08,N,F,2025-03-27,2025-03-22
1026,2,104,5,539.0,0.02,0.08,N,F,2025-03-24,2025-03-22
1026,3,113,14,1600.9,0.1,0.08,N,F,2025-03-19,2025-03-22
1027,1,100,19,3069.07,0.0,0.08,N,O,2025-04-24,2025-04-28
1027,2,109,13,1049.62,0.1,0.08,N,O,2025-04-27,2025-04-28
1027,3,123,18,1850.58,0.02,0.08,N,O,2025-04-26,2025-04-28
1028,1,112,11,1932.7,0.1,0.08,N,O,2025-03-23,2025-03-21
1029,1,117,1,192.46,0.0,0.08,N,F,2025-02-14,2025-02-22
1029,2,104,15,1582.35,0.05,0.08,N,F,2025-02-19,2025-02-22
1029,3,114,11,1518.77,0.1,0.08,N,F,2025-02-17,2025-02-22
1030,1,123,18,1370.52,0.05,0.08,N,O,2025-03-10,2025-03-16
1031,1,124,1,171.6,0.02,0.08,N,O,2025-06-30,2025-06-26
1032,1,115,4,708.04,0.02,0.08,N,F,2025-01-14,2025-01-16
1033,1,123,4,408.08,0.02,0.08,N,O,2025-04-10,2025-04-15
1033,2,103,19,746.51,0.05,0.08,N,O,2025-04-15,2025-04-15
1033,3,121,13,550.94,0.02,0.08,N,O,2025-04-07,2025-04-15
1034,1,125,4,393.16,0.0,0.08,N,O,2025-02-02,2025-02-06
1034,2,117,14,2473.24,0.0,0.08,N,O,2025-02-05,2025-02-06
1034,3,120,11,1628.11,0.1,0.08,N,O,2025-02-10,2025-02-06
1035,1,120,15,2955.9,0.1,0.08,N,O,2025-05-09,2025-05-16
1035,2,123,17,1848.07,0.05,0.08,N,O,2025-05-16,2025-05-16
1036,1,108,11,1817.75,0.0,0.08,N,O,2025-05-05,2025-05-10
1036,2,128,15,360.45,0.1,0.08,N,O,2025-05-10,2025-05-10
1036,3,119,13,452.79,0.1,0.08,N,O,2025-05-14,2025-05-10
1037,1,111,9,1243.44,0.05,0.08,N,O,2025-04-03,2025-04-04
1038,1,123,14,1283.94,0.02,0.08,N,F,2025-01-15,2025-01-13
1039,1,109,8,547.12,0.02,0.08,N,F,2025-05-11,2025-05-16
1040,1,117,11,1724.03,0.1,0.08,N,O,2025-05-07,2025-05-12
1040,2,109,9,572.49,0.02,0.08,N,O,2025-05-08,2025-05-12
1040,3,103,18,1017.54,0.02,0.08,N,O,2025-05-06,2025-05-12
1041,1,118,17,576.3,0.0,0.08,N,O,2025-03-11,2025-03-07
1041,2,106,10,574.0,0.02,0.08,N,O,2025-03-02,2025-03-07
1041,3,100,18,2608.02,0.0,0.08,N,O,2025-02-26,2025-03-07
1042,1,120,16,2469.76,0.0,0.08,N,O,2025-06-01,2025-06-01
1043,1,105,2,217.42,0.1,0.08,N,O,2025-05-03,2025-05-11
1043,2,126,3,489.42,0.0,0.08,N,O,2025-05-11,2025-05-11
1044,1,125,19,1966.69,0.0,0.08,N,F,2025-06-15,2025-06-21
1045,1,114,15,2036.7,0.1,0.08,N,O,2025-04-22,2025-04-27
1045,2,118,20,542.2,0.0,0.08,N,O,2025-04-30,2025-04-27
1046,1,102,6,558.84,0.0,0.08,N,O,2025-06-13,2025-06-20
1046,2,100,14,2325.68,0.1,0.08,N,O,2025-06-15,2025-06-20
1046,3,101,8,432.88,0.05,0.08,N,O,2025-06-22,2025-06-20
1047,1,129,9,1190.61,0.02,0.08,N,O,2025-05-04,2025-05-07
1048,1,129,9,1206.63,0.0,0.08,N,O,2025-05-21,2025-05-30
1049,1,114,10,1587.4,0.05,0.08,N,O,2025-03-29,2025-03-30
1050,1,119,2,85.58,0.05,0.08,N,O,2025-05-29,2025-05-29
1051,1,126,19,3332.22,0.0,0.08,N,F,2025-01-20,2025-01-17
1051,2,108,19,2271.83,0.02,0.08,N,F,2025-01-15,2025-01-17
1051,3,114,9,1162.62,0.1,0.08,N,F,2025-01-18,2025-01-17
1052,1,110,11,278.74,0.02,0.08,N,O,2025-01-30,2025-02-03
1052,2,113,16,1797.28,0.1,0.08,N,O,2025-02-07,2025-02-03
1053,1,110,9,199.35,0.1,0.08,N,O,2025-06-04,2025-05-31
1054,1,106,17,1032.58,0.1,0.08,N,O,2025-06-29,2025-06-28
1055,1,104,10,1174.3,0.1,0.08,N,O,2025-01-16,2025-01-24
1055,2,100,20,3779.8,0.02,0.08,N,O,2025-01-19,2025-01-24
1055,3,117,1,169.63,0.0,0.08,N,O,2025-01-18,2025-01-24
1056,1,126,5,847.8,0.05,0.08,N,F,2025-02-08,2025-02-09
1056,2,113,16,2321.6,0.02,0.08,N,F,2025-02-07,2025-02-09
1056,3,112,7,1342.95,0.02,0.08,N,F,2025-02-13,2025-02-09
1057,1,126,1,155.4,0.05,0.08,N,O,2025-05-01,2025-04-27
1057,2,118,19,740.62,0.1,0.08,N,O,2025-05-01,2025-04-27
1058,1,111,11,1652.53,0.1,0.08,N,O,2025-02-16,2025-02-18
1058,2,129,11,1496.55,0.02,0.08,N,O,2025-02-18,2025-02-18
1059,1,123,16,1590.88,0.1,0.08,N,F,2025-03-08,2025-03-11
