order_id,cust_id,order_status,total_price,order_date,order_priority
1001,1,F,3189.7,2025-02-28,1-URGENT
1002,2,F,2164.39,2025-02-18,1-URGENT
1003,2,F,2239.38,2025-03-13,4-LOW
1004,2,O,1565.87,2025-03-02,2-HIGH
1005,2,O,3464.89,2025-04-27,3-MEDIUM
1006,3,P,1474.46,2025-05-30,4-LOW
1007,4,O,392.83,2025-04-18,3-MEDIUM
1008,5,F,3515.4,2025-04-28,3-MEDIUM
1009,5,F,3381.72,2025-05-10,3-MEDIUM
1010,5,F,800.01,2025-03-18,1-URGENT
1011,6,O,1955.61,2025-01-24,4-LOW
1012,7,P,165.87,2025-05-22,4-LOW
1013,7,P,1884.69,2025-01-10,3-MEDIUM
1014,7,F,289.54,2025-02-09,2-HIGH
1015,7,O,336.68,2025-06-21,2-HIGH
1016,8,O,729.02,2025-02-26,2-HIGH
1017,8,P,1224.9,2025-06-14,4-LOW
1018,8,O,555.11,2025-05-28,2-HIGH
1019,8,P,675.69,2025-04-21,1-URGENT
1020,9,P,860.2,2025-06-28,3-MEDIUM
1021,9,O,3935.35,2025-02-14,3-MEDIUM
1022,9,O,1992.88,2025-02-13,1-URGENT
1023,9,P,3313.66,2025-04-17,2-HIGH
1024,10,F,1400.34,2025-02-01,4-LOW
1025,10,O,1515.67,2025-05-02,4-LOW
1026,11,F,2461.05,2025-03-12,4-LOW
1027,11,P,5827.3,2025-04-18,4-LOW
1028,12,O,1739.43,2025-03-11,4-LOW
1029,12,F,3062.58,2025-02-12,4-LOW
1030,13,O,1301.99,2025-03-06,1-URGENT
1031,13,P,168.17,2025-06-16,1-URGENT
1032,13,F,693.88,2025-01-06,2-HIGH
1033,13,P,1649.02,2025-04-05,2-HIGH
1034,14,P,4331.7,2025-01-27,3-MEDIUM
1035,14,O,4415.98,2025-05-06,1-URGENT
1036,15,P,2549.66,2025-04-30,4-LOW
1037,15,O,1181.27,2025-03-25,2-HIGH
1038,15,F,1258.26,2025-01-03,2-HIGH
1039,15,F,536.18,2025-05-06,4-LOW
1040,16,O,3109.86,2025-05-02,3-MEDIUM
1041,16,O,3746.84,2025-02-25,4-LOW
1042,16,P,2469.76,2025-05-22,3-MEDIUM
1043,17,O,685.1,2025-05-01,4-LOW
1044,17,F,1966.69,2025-06-11,1-URGENT
