part_id,part_name,mfgr,category,supply_cost
100,Part#00100,MFGR#4,ELECTRONICS,109.27
101,Part#00101,MFGR#2,STRUCTURAL,38.03
102,Part#00102,MFGR#1,HARDWARE,66.82
103,Part#00103,MFGR#2,HYDRAULICS,31.05
104,Part#00104,MFGR#4,HYDRAULICS,77.62
105,Part#00105,MFGR#4,STRUCTURAL,77.57
106,Part#00106,MFGR#5,HARDWARE,41.4
107,Part#00107,MFGR#1,STRUCTURAL,86.43
108,Part#00108,MFGR#3,HARDWARE,93.84
109,Part#00109,MFGR#2,HYDRAULICS,45.82
110,Part#00110,MFGR#3,STRUCTURAL,15.34
111,Part#00111,MFGR#5,HARDWARE,95.01
112,Part#00112,MFGR#3,STRUCTURAL,106.4
113,Part#00113,MFGR#2,ELECTRONICS,78.94
114,Part#00114,MFGR#5,STRUCTURAL,95.06
115,Part#00115,MFGR#5,ELECTRONICS,111.44
116,Part#00116,MFGR#1,ELECTRONICS,66.3
117,Part#00117,MFGR#3,FASTENERS,107.27
118,Part#00118,MFGR#5,HARDWARE,21.08
119,Part#00119,MFGR#4,HARDWARE,23.99
120,Part#00120,MFGR#5,FASTENERS,117.69
121,Part#00121,MFGR#4,STRUCTURAL,28.48
122,Part#00122,MFGR#5,STRUCTURAL,32.34
123,Part#00123,MFGR#2,STRUCTURAL,59.43
124,Part#00124,MFGR#2,ELECTRONICS,94.3
125,Part#00125,MFGR#3,HYDRAULICS,56.89
126,Part#00126,MFGR#4,HARDWARE,109.46
127,Part#00127,MFGR#1,ELECTRONICS,41.03
128,Part#00128,MFGR#5,FASTENERS,17.21
129,Part#00129,MFGR#1,HARDWARE,76.79
